release_date,achievements,median_playtime,price,total_reviews,average_playtime,english,categories,owners,season,Rating
2006-04-01,0,414,3.99,736,405,1,Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Trading Cards,1000000-2000000,Spring,Negative
2009-04-30,0,422,6.99,3711,484,1,Single-player;Multi-player;Online Multi-Player;Online Co-op;Cross-Platform Multiplayer;Steam Trading Cards;Partial Controller Support,1000000-2000000,Spring,Positive
2006-10-25,0,700,4.29,4702,634,1,Single-player;Multi-player;Valve Anti-Cheat enabled,1000000-2000000,Fall,Very Positive
2007-08-03,0,103,12.99,1428,123,1,Single-player;Multi-player;Steam Cloud,200000-500000,Summer,Very Positive
2011-08-04,0,32,12.99,1062,36,1,Single-player;Multi-player;Steam Cloud,200000-500000,Summer,Positive
2007-08-03,0,110,2.99,1860,69,1,Single-player;Steam Cloud,200000-500000,Summer,Very Positive
2007-08-03,0,179,3.99,3962,125,1,Single-player;Steam Cloud,500000-1000000,Summer,Very Positive
2007-08-03,0,114,3.99,655,120,1,Single-player;Steam Cloud,200000-500000,Summer,Very Positive
2007-08-03,0,78,3.99,2699,90,1,Single-player;Multi-player;Steam Cloud,500000-1000000,Summer,Very Positive
2007-08-03,0,189,3.99,2754,167,1,Single-player;Multi-player;Co-op;Steam Cloud,200000-500000,Summer,Very Positive
2007-08-03,0,349,3.99,1476,291,1,Single-player;Multi-player;Co-op;Steam Cloud,200000-500000,Summer,Very Positive
2007-08-03,0,32,2.49,77,32,1,Single-player;Multi-player;Steam Cloud,200000-500000,Summer,Positive
2007-08-03,0,1,2.49,87,1,1,Single-player;Multi-player;Steam Cloud,200000-500000,Summer,Negative
2007-08-03,0,0,12.99,139,0,1,Single-player;Multi-player;Steam Cloud,200000-500000,Summer,Positive
2007-08-03,0,50,2.99,275,50,1,Single-player;Steam Cloud,200000-500000,Summer,Very Positive
2007-08-03,0,0,2.99,77,0,1,Single-player;Steam Cloud,100000-200000,Summer,Positive
2007-08-03,0,0,2.99,446,0,1,Single-player;Multi-player;Steam Cloud,200000-500000,Summer,Very Positive
2006-07-11,0,239,0.0,5611,233,1,Single-player;Multi-player;Steam Trading Cards;Valve Anti-Cheat enabled,1000000-2000000,Summer,Very Positive
2010-10-29,12,193,4.29,866,193,1,Single-player;Multi-player;Steam Achievements,100000-200000,Fall,Positive
2006-05-08,0,258,3.99,1221,186,1,Single-player;Shared/Split Screen;Steam Trading Cards,500000-1000000,Spring,Positive
2006-12-19,0,0,0.0,98,0,1,Single-player,50000-100000,Winter,Negative
2007-11-07,0,0,2.99,1133,0,1,Single-player,200000-500000,Fall,Negative
2007-03-22,0,202,14.99,6523,350,1,Single-player,500000-1000000,Spring,Very Positive
2006-10-13,0,889,9.99,827,462,1,Single-player,50000-100000,Fall,Very Positive
2006-10-13,0,849,14.99,1672,545,1,Single-player;Multi-player,200000-500000,Fall,Very Positive
2006-10-13,0,1041,14.99,2670,750,1,Single-player;Multi-player,200000-500000,Fall,Very Positive
2006-10-13,0,0,14.99,587,0,1,Single-player;Multi-player,200000-500000,Fall,Positive
2008-03-12,0,0,1.99,213,0,1,Single-player;Multi-player,20000-50000,Spring,Positive
2007-07-12,0,0,3.99,40,0,1,Single-player;Multi-player;Includes level editor,20000-50000,Summer,Positive
2008-03-12,0,0,5.99,222,0,1,Single-player;Multi-player;Includes level editor,20000-50000,Spring,Negative
2006-07-21,0,732,4.99,262,732,1,Single-player;Captions available;Steam Cloud,200000-500000,Summer,Positive
2006-07-21,0,1232,9.99,395,831,1,Single-player;Captions available;Steam Cloud,200000-500000,Summer,Positive
2008-10-16,33,1273,15.99,1905,972,1,Single-player;Steam Achievements;Full controller support;Captions available;Steam Cloud,500000-1000000,Fall,Very Positive
2010-10-08,0,648,3.49,190,648,1,Single-player;Steam Cloud,200000-500000,Fall,Positive
2010-10-08,0,13,3.49,75,13,1,Single-player;Steam Cloud,20000-50000,Fall,Positive
2013-11-15,69,3386,24.99,6864,1744,1,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Workshop;Steam Cloud,200000-500000,Fall,Negative
2006-10-26,0,0,22.99,69,0,1,Single-player;Multi-player,20000-50000,Fall,Positive
2006-10-26,0,0,22.99,158,0,1,Single-player,50000-100000,Fall,Positive
2006-10-26,0,0,22.99,47,0,1,Single-player;Multi-player;Co-op;Includes level editor,20000-50000,Fall,Positive
2006-12-21,0,351,5.99,5781,293,1,Single-player,500000-1000000,Winter,Very Positive
2006-08-24,0,939,3.99,178,939,1,Single-player;Multi-player,20000-50000,Summer,Positive
2007-11-08,0,60,8.59,991,46,1,Single-player;Multi-player;Steam Trading Cards,100000-200000,Fall,Positive
2008-10-08,0,0,3.99,107,0,1,Single-player;Multi-player,20000-50000,Fall,Negative
2009-11-01,0,0,3.99,363,0,1,Single-player;Steam Cloud,200000-500000,Fall,Positive
2009-11-19,0,1429,7.99,535,1422,1,Single-player;Steam Cloud,200000-500000,Fall,Very Positive
2007-08-06,0,0,4.49,124,0,1,Single-player;Multi-player,20000-50000,Summer,Very Negative
2007-08-29,0,1,4.49,428,1,1,Single-player,50000-100000,Summer,Negative
2007-10-30,0,270,4.49,566,270,1,Single-player;Multi-player,200000-500000,Fall,Positive
2006-08-30,0,267,4.25,474,267,1,Single-player,100000-200000,Summer,Very Positive
2006-08-30,0,0,4.25,99,0,1,Single-player,20000-50000,Summer,Positive
2007-03-06,0,254,4.25,1172,214,1,Single-player,200000-500000,Spring,Very Positive
2007-09-11,0,1,0.0,765,1,1,Single-player,200000-500000,Fall,Very Positive
2007-06-25,0,0,4.25,12,0,1,Single-player,20000-50000,Summer,Positive
2007-10-16,0,0,4.25,13,0,1,Single-player,20000-50000,Fall,Positive
2007-12-13,0,0,4.25,29,0,1,Single-player,20000-50000,Winter,Positive
2008-06-05,0,0,4.25,16,0,1,Single-player,20000-50000,Summer,Negative
2009-04-15,0,0,4.25,30,0,1,Single-player,20000-50000,Spring,Positive
2008-10-15,0,237,4.25,392,237,1,Single-player,200000-500000,Fall,Very Positive
2008-11-18,0,0,4.25,116,0,1,Single-player,20000-50000,Fall,Positive
2009-01-28,0,0,4.25,13,0,1,Single-player,20000-50000,Winter,Negative
2009-02-18,0,0,4.25,18,0,1,Single-player,20000-50000,Winter,Positive
2009-05-05,21,374,4.25,15084,480,1,Single-player;Steam Achievements,1000000-2000000,Spring,Very Positive
2009-04-15,0,0,4.25,154,0,1,Single-player,50000-100000,Spring,Negative
2009-07-27,0,0,4.25,11,0,1,Single-player,20000-50000,Summer,Positive
2009-09-15,14,0,4.25,463,0,1,Single-player;Steam Achievements;Stats,100000-200000,Fall,Very Positive
2009-07-16,0,371,5.59,1558,262,1,Single-player;Steam Trading Cards,500000-1000000,Summer,Positive
2009-03-26,0,8,5.59,638,8,1,Single-player;Multi-player;Co-op,50000-100000,Spring,Very Positive
2009-06-22,0,318,6.99,1942,287,1,Single-player,200000-500000,Summer,Very Positive
2010-01-15,0,24,3.99,1653,20,1,Single-player;Multi-player,200000-500000,Winter,Very Positive
2006-09-14,0,0,7.19,331,0,1,Single-player;Steam Trading Cards,50000-100000,Fall,Positive
2006-09-14,0,111,6.99,479,111,1,Single-player;Steam Trading Cards,50000-100000,Fall,Positive
2006-09-14,0,771,6.99,362,771,1,Single-player;Steam Trading Cards,50000-100000,Fall,Positive
2006-10-11,37,232,6.99,8660,491,1,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,2000000-5000000,Fall,Very Positive
2006-10-25,0,64,9.99,1523,49,1,Single-player;Multi-player;Includes level editor,1000000-2000000,Fall,Very Positive
2006-10-25,0,13,2.99,2983,1166,1,Single-player;Multi-player;Includes level editor,2000000-5000000,Fall,Very Positive
2005-07-11,0,436,5.99,2834,296,1,Single-player,500000-1000000,Summer,Very Positive
2006-10-25,0,0,2.99,88,0,1,Single-player;Multi-player,20000-50000,Fall,Negative
