release_date,achievements,median_playtime,price,total_reviews,average_playtime,english,categories,owners,season,Rating
2016-01-19,104,619,18.99,48285,1121,1,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,2000000-5000000,Winter,Very Positive
2014-02-26,25,0,3.99,55,0,1,Single-player;Steam Achievements;Steam Trading Cards;Steam Leaderboards,0-20000,Winter,Very Negative
2016-04-07,0,0,2.89,88,0,1,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Shared/Split Screen;Cross-Platform Multiplayer;Partial Controller Support,0-20000,Spring,Negative
2016-02-17,32,57,10.99,669,57,1,Single-player;Multi-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,50000-100000,Winter,Positive
2014-03-03,0,255,3.99,2748,245,1,Single-player;Local Multi-Player;Shared/Split Screen;Steam Trading Cards;Captions available;Steam Workshop;Partial Controller Support,200000-500000,Spring,Positive
2015-01-30,12,0,3.99,170,0,1,Single-player;Steam Achievements;Full controller support,0-20000,Winter,Positive
2014-10-03,77,105,4.99,200,105,1,Single-player;Steam Achievements;Steam Trading Cards;Captions available;Partial Controller Support;Steam Cloud;Stats,20000-50000,Fall,Positive
2014-07-01,14,308,4.79,144,308,1,Single-player;Partial Controller Support;Steam Cloud,20000-50000,Summer,Very Positive
2014-02-05,22,5,4.99,1099,5,1,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support,50000-100000,Winter,Very Positive
2015-04-24,25,296,14.99,3830,282,1,Single-player;Multi-player;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,1000000-2000000,Spring,Positive
2012-05-31,49,0,22.99,50,0,0,Single-player,50000-100000,Spring,Negative
2014-03-20,37,219,14.99,825,171,1,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Steam Cloud;Steam Leaderboards;Includes level editor,100000-200000,Spring,Very Positive
2014-05-21,42,43,0.0,13478,99,1,Single-player;Steam Achievements;Steam Trading Cards;Steam Workshop;In-App Purchases,2000000-5000000,Spring,Positive
2014-02-06,20,0,5.19,368,0,1,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,20000-50000,Winter,Very Positive
2014-11-18,32,172,6.99,490,172,1,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,100000-200000,Fall,Very Positive
2014-03-07,0,129,29.99,554,129,1,Single-player,20000-50000,Spring,Positive
2016-06-09,16,0,6.99,48,0,1,Single-player;Steam Achievements,0-20000,Summer,Negative
2014-01-03,9,37,1.59,684,31,1,Single-player;Steam Achievements,50000-100000,Winter,Very Positive
2014-02-28,28,0,2.89,169,0,1,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Stats;Includes level editor,0-20000,Winter,Very Positive
2014-03-28,2,0,1.99,31,0,1,Single-player,0-20000,Spring,Negative
2016-07-27,31,0,7.19,16,0,1,Single-player;Steam Achievements;Full controller support;Steam Cloud,0-20000,Summer,Positive
2014-02-06,43,0,4.79,878,0,1,Single-player;Multi-player;Online Multi-Player;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,100000-200000,Winter,Positive
2014-08-29,46,810,15.49,304,810,1,Multi-player;Steam Achievements;Steam Trading Cards;Partial Controller Support,20000-50000,Summer,Negative
2014-01-10,23,75,6.99,359,75,1,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,20000-50000,Winter,Very Positive
2014-01-29,64,0,10.99,672,0,1,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,50000-100000,Winter,Positive
2017-12-08,24,0,11.99,140,0,1,Single-player;Steam Achievements;Steam Trading Cards,0-20000,Winter,Negative
2014-06-11,22,596,10.59,1766,376,1,Single-player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Stats;Steam Leaderboards,100000-200000,Summer,Very Positive
2014-08-25,0,282,14.99,358,282,1,Single-player;Steam Trading Cards,100000-200000,Summer,Very Positive
2014-01-09,0,0,3.99,52,0,1,Single-player,20000-50000,Winter,Very Negative
2014-06-10,54,0,2.09,268,0,1,Single-player;Steam Achievements;Steam Trading Cards,20000-50000,Summer,Positive
2014-09-01,40,202,10.99,27,202,1,Single-player;Shared/Split Screen;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Leaderboards,20000-50000,Fall,Negative
2013-12-04,35,208,18.99,1671,184,1,Single-player;Steam Achievements;Full controller support;Steam Trading Cards,200000-500000,Winter,Very Positive
2015-02-05,11,862,4.79,1023,862,1,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support,50000-100000,Winter,Positive
2014-02-17,8,0,1.59,101,0,1,Single-player;Steam Achievements;Steam Leaderboards,20000-50000,Winter,Very Negative
2014-09-29,24,407,9.29,631,407,1,Single-player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Leaderboards,50000-100000,Fall,Very Positive
2014-06-16,18,0,11.39,95,0,1,Single-player;Steam Trading Cards,0-20000,Summer,Positive
2015-05-21,131,274,3.99,6661,253,1,Multi-player;Cross-Platform Multiplayer;Steam Trading Cards;Steam Workshop;Partial Controller Support;Includes level editor,500000-1000000,Spring,Positive
2014-05-30,24,14,0.79,222,14,1,Single-player;Steam Achievements;Full controller support;Steam Trading Cards,20000-50000,Spring,Negative
2013-11-20,0,17,0.0,967,17,1,Single-player,20000-50000,Fall,Positive
2014-06-06,0,0,6.99,57,0,1,Single-player,0-20000,Summer,Negative
2013-12-03,0,0,1.99,167,0,1,Single-player;Captions available;Stats,20000-50000,Winter,Negative
2014-03-05,0,0,0.79,13,0,1,Single-player,0-20000,Spring,Negative
2014-01-27,14,0,6.99,624,0,1,Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Steam Achievements;Steam Trading Cards;Steam Cloud,50000-100000,Winter,Positive
2014-06-12,56,2270,9.99,20007,1922,1,Single-player;Online Multi-Player;Online Co-op;Steam Achievements;Steam Trading Cards;Steam Workshop;Partial Controller Support;Includes level editor,1000000-2000000,Summer,Very Positive
2014-02-13,0,184,6.99,2144,174,1,Single-player;Shared/Split Screen;Full controller support;Steam Trading Cards;Steam Cloud,200000-500000,Winter,Very Positive
2014-01-29,88,958,4.99,485,710,1,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Stats;Steam Leaderboards,100000-200000,Winter,Positive
2014-01-03,0,0,6.99,169,0,1,Single-player;Partial Controller Support,20000-50000,Winter,Negative
2014-01-10,0,170,4.99,517,170,1,Single-player;Co-op;Steam Trading Cards,50000-100000,Winter,Positive
2014-01-03,9,0,11.39,213,0,1,Single-player;Steam Achievements;Includes level editor,20000-50000,Winter,Very Positive
2014-01-10,61,500,6.99,491,399,1,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud;Stats;Steam Leaderboards,50000-100000,Winter,Very Positive
2014-02-06,17,0,3.99,375,0,1,Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Leaderboards,50000-100000,Winter,Negative
2014-02-14,9,357,4.99,208,262,1,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud;Stats;Steam Leaderboards,100000-200000,Winter,Positive
2014-11-21,27,0,3.99,153,0,1,Single-player;Multi-player;Co-op;Steam Achievements;Steam Trading Cards;Partial Controller Support,20000-50000,Fall,Negative
2014-03-12,52,68,0.0,3136,137,1,Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Partial Controller Support,1000000-2000000,Spring,Positive
2014-09-18,0,0,11.39,126,0,1,Single-player;Steam Trading Cards;Steam Cloud,20000-50000,Fall,Negative
2014-04-17,0,130,0.0,2923,142,1,MMO;Steam Trading Cards,500000-1000000,Spring,Negative
2014-01-22,39,480,3.99,538,480,1,Single-player;Steam Achievements;Steam Trading Cards,50000-100000,Winter,Positive
2016-07-29,0,0,6.99,31,0,1,Single-player;Multi-player;Partial Controller Support;Includes level editor,0-20000,Summer,Negative
2014-03-10,33,277,6.99,2984,254,1,Single-player;Steam Achievements;Full controller support;Steam Trading Cards,100000-200000,Spring,Positive
2015-06-26,40,0,6.99,86,0,1,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support,0-20000,Summer,Very Negative
2014-01-03,7,0,3.99,780,0,1,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,20000-50000,Winter,Negative
2014-05-01,55,5,3.99,382,5,1,Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Partial Controller Support;Steam Leaderboards,50000-100000,Spring,Positive
2018-08-20,38,0,14.99,451,0,1,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Co-op;Online Co-op;Local Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Leaderboards,20000-50000,Summer,Positive
2014-04-16,15,5,9.99,989,5,1,Single-player;Multi-player;Steam Achievements;Steam Trading Cards,100000-200000,Spring,Positive
2014-05-21,23,391,6.99,4146,295,1,Single-player;Steam Achievements;Steam Trading Cards;Steam Workshop;Partial Controller Support;Stats;Steam Leaderboards;Includes level editor,200000-500000,Spring,Very Positive
2013-12-12,0,0,6.99,19,0,1,Single-player,0-20000,Winter,Very Negative
2014-02-20,31,81,1.59,599,74,1,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support,50000-100000,Winter,Very Positive
2014-09-17,17,141,7.99,358,139,1,Single-player;Multi-player;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Cloud;Steam Leaderboards,100000-200000,Fall,Positive
2014-02-03,36,37,4.99,406,37,1,Single-player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,20000-50000,Winter,Very Positive
2015-10-16,42,0,6.19,302,0,1,Single-player;Multi-player;Co-op;Shared/Split Screen;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Steam Cloud;Stats;Steam Leaderboards;Includes level editor,0-20000,Fall,Positive
2016-01-07,0,0,6.99,51,0,1,Single-player;Multi-player;Partial Controller Support,0-20000,Winter,Positive
2014-08-08,0,0,10.99,74,0,1,Single-player;Multi-player;Co-op;Shared/Split Screen;Full controller support;Steam Trading Cards,20000-50000,Summer,Positive
2016-03-14,36,121,0.79,6639,137,1,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Stats,500000-1000000,Spring,Very Positive
2015-04-27,29,157,14.99,201,157,1,Single-player;Multi-player;Co-op;Shared/Split Screen;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Captions available;Partial Controller Support;Stats,20000-50000,Spring,Negative
2014-03-12,12,0,10.99,17,0,1,Single-player;Steam Achievements;Steam Leaderboards,0-20000,Spring,Positive
2014-05-06,15,0,10.99,182,0,1,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,20000-50000,Spring,Positive
2014-04-24,0,0,4.99,234,0,1,Single-player,50000-100000,Spring,Very Positive
2016-02-12,0,128,0.0,1069,115,1,Single-player;Multi-player;Steam Trading Cards;Partial Controller Support;Stats,200000-500000,Winter,Negative
2014-02-17,19,0,6.99,495,0,1,Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Cloud;Steam Leaderboards,20000-50000,Winter,Very Positive
2014-03-03,152,107,3.99,14437,149,1,Single-player;Steam Achievements;Partial Controller Support;Steam Leaderboards,500000-1000000,Spring,Very Positive
2014-05-01,43,0,1.99,220,0,1,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Stats,20000-50000,Spring,Very Positive
2014-01-08,39,142,6.99,1422,151,1,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud;Steam Leaderboards,200000-500000,Winter,Positive
2014-08-11,27,0,5.99,60,0,1,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud;Stats;Steam Leaderboards,0-20000,Summer,Positive
2014-02-19,22,157,3.99,554,157,1,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Leaderboards,50000-100000,Winter,Negative
2014-10-30,42,101,5.59,951,64,1,Single-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,100000-200000,Fall,Positive
2014-01-03,0,0,3.99,136,0,1,Single-player,20000-50000,Winter,Negative
2014-02-24,100,250,3.99,259,250,1,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud;Steam Leaderboards,20000-50000,Winter,Positive
2015-04-24,5,10,0.0,3023,5,1,Single-player;Steam Achievements,200000-500000,Spring,Very Positive
2014-09-15,21,0,3.99,26,0,1,Single-player;Steam Achievements;Steam Cloud,0-20000,Fall,Very Positive
2014-04-18,12,0,6.99,18,0,1,Single-player;Full controller support;Stats,0-20000,Spring,Very Negative
2014-01-24,25,0,6.99,47,0,1,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,0-20000,Winter,Negative
2014-02-26,0,321,3.99,120,314,1,Single-player;Steam Trading Cards,50000-100000,Winter,Very Negative
2014-04-15,30,0,10.99,220,0,1,Single-player;Steam Achievements;Steam Trading Cards;Captions available;Steam Cloud,20000-50000,Spring,Positive
2014-03-28,20,679,6.99,284,679,1,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Leaderboards,100000-200000,Spring,Negative
2014-07-10,59,75,6.99,133,75,1,Single-player;Steam Achievements;Steam Trading Cards;Captions available,20000-50000,Summer,Positive
2014-04-15,0,0,3.99,101,0,1,Single-player,20000-50000,Spring,Negative
2018-01-23,17,937,19.49,95568,1446,1,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;VR Support,2000000-5000000,Winter,Very Positive
2014-01-08,25,181,3.99,1466,143,1,Single-player;Steam Achievements;Steam Trading Cards,100000-200000,Winter,Positive
2016-03-29,81,822,14.99,555,822,1,Single-player;Steam Achievements;Full controller support;Steam Cloud,50000-100000,Spring,Very Positive
2014-09-26,83,162,4.99,451,162,1,Single-player;Steam Achievements;Steam Trading Cards;Steam Workshop;Steam Cloud;Includes level editor,100000-200000,Fall,Negative
2014-07-01,18,530,4.79,213,530,1,Single-player;Multi-player;Partial Controller Support;Steam Cloud,20000-50000,Summer,Positive
2013-12-13,13,183,1.79,4040,140,1,Single-player;Multi-player;Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Cloud,500000-1000000,Winter,Very Positive
2014-03-27,8,0,6.99,23,0,1,Single-player;Steam Achievements;Steam Leaderboards;Includes level editor,20000-50000,Spring,Very Negative
2014-10-28,56,265,23.79,12356,456,1,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,500000-1000000,Fall,Negative
2013-12-06,0,108,3.99,1227,108,1,Single-player;Steam Trading Cards;Steam Cloud,100000-200000,Winter,Positive
2014-02-13,15,273,6.99,241,214,1,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support,100000-200000,Winter,Negative
2016-11-16,21,0,10.99,125,0,1,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,0-20000,Fall,Very Positive
2014-09-05,88,522,24.99,10311,596,1,Single-player;Multi-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Cloud;Steam Leaderboards,500000-1000000,Fall,Positive
2015-07-09,73,285,7.19,2011,243,1,Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Steam Achievements;Steam Trading Cards;Captions available;Steam Cloud;Stats;Steam Leaderboards,1000000-2000000,Summer,Positive
2014-02-25,104,384,8.99,2260,384,1,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,200000-500000,Winter,Very Positive
2014-05-09,17,86,0.0,26202,3079,1,Multi-player;Online Multi-Player;Local Multi-Player;Cross-Platform Multiplayer;Steam Achievements;Steam Workshop;Stats;Steam Leaderboards;Includes level editor;Includes Source SDK,2000000-5000000,Spring,Very Positive
2014-12-09,12,90,1.99,440,90,1,Single-player;Steam Achievements;Steam Trading Cards;Steam Workshop;Partial Controller Support;Steam Cloud;Stats;Includes level editor,50000-100000,Winter,Very Negative
2014-02-13,0,9,0.0,1369,8,1,Single-player,100000-200000,Winter,Positive
2019-04-04,0,0,11.69,2,0,1,Single-player;Partial Controller Support,0-20000,Spring,Very Positive
2015-10-13,111,0,10.99,1350,0,1,Multi-player;Steam Achievements;Full controller support;Steam Trading Cards;Stats;Steam Leaderboards,50000-100000,Fall,Positive
2014-08-25,6,1,0.0,534,1,1,Multi-player;Steam Achievements;Steam Leaderboards,200000-500000,Summer,Very Negative
2014-08-01,6,0,1.59,85,0,1,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,20000-50000,Summer,Negative
2015-06-29,42,0,3.99,542,0,1,Single-player;Steam Achievements;Steam Workshop;Steam Cloud,20000-50000,Summer,Negative
2014-05-28,5,89,14.99,603,89,1,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,100000-200000,Spring,Positive
2014-03-17,0,149,6.99,208,123,1,Single-player;Steam Trading Cards;Partial Controller Support,50000-100000,Spring,Negative
2014-02-19,6,49,1.99,3611,49,1,Single-player;Steam Achievements,200000-500000,Winter,Very Positive
2014-04-01,127,149,7.19,51671,309,1,Single-player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Steam Cloud;Steam Leaderboards;Includes level editor,2000000-5000000,Spring,Very Positive
2014-03-25,12,0,14.99,364,0,1,Single-player;Steam Achievements;Full controller support;Steam Trading Cards,50000-100000,Spring,Positive
2015-03-19,86,0,18.99,464,0,1,Single-player;Multi-player;Co-op;Shared/Split Screen;Steam Achievements;Steam Trading Cards,20000-50000,Spring,Negative
2014-03-28,130,0,3.99,311,0,1,Single-player;Steam Achievements;Includes level editor,20000-50000,Spring,Negative
2014-03-17,33,233,1.99,7123,176,1,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,200000-500000,Spring,Very Positive
2014-05-19,0,12,0.0,255,12,1,Single-player;Multi-player,100000-200000,Spring,Negative
2014-05-01,30,367,3.99,202,365,1,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support,50000-100000,Spring,Negative
2014-01-27,1,0,1.99,189,0,1,Single-player,0-20000,Winter,Very Negative
2014-03-04,17,1301,10.99,974,740,1,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,200000-500000,Spring,Positive
2014-03-21,64,67,10.99,1975,67,1,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud;Stats;Steam Leaderboards,200000-500000,Spring,Positive
2014-11-25,68,53,0.0,696,27,1,Multi-player;Steam Achievements;Steam Trading Cards,200000-500000,Fall,Negative
2014-03-11,25,2075,6.99,529,2075,1,Single-player;Steam Achievements,50000-100000,Spring,Negative
2015-11-10,0,0,7.19,148,0,1,Single-player;Multi-player;Online Multi-Player;Co-op,0-20000,Fall,Negative
2014-02-28,59,718,2.29,3548,547,1,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,200000-500000,Winter,Very Positive
2014-03-13,236,0,6.99,435,0,1,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud;Steam Leaderboards,50000-100000,Spring,Positive
2014-02-26,36,0,2.79,113,0,1,Single-player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,20000-50000,Winter,Very Positive
2014-01-21,0,0,5.59,69,0,1,Single-player,0-20000,Winter,Positive
2014-02-28,36,15,4.99,312,15,1,Single-player;Steam Achievements;Partial Controller Support,20000-50000,Winter,Very Negative
2015-05-19,0,83,14.99,1231,83,1,Single-player;Multi-player;Includes level editor,200000-500000,Spring,Positive
2014-02-07,30,0,6.99,209,0,1,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Stats;Steam Leaderboards,50000-100000,Winter,Negative
2014-03-26,1,0,1.59,105,0,1,Single-player;Multi-player;Co-op;Steam Achievements;Partial Controller Support;Stats;Steam Leaderboards,0-20000,Spring,Negative
2014-06-16,26,467,6.99,536,467,1,Single-player;Steam Achievements,50000-100000,Summer,Positive
2015-01-12,0,4,7.99,887,4,1,Single-player;Multi-player;MMO;VR Support;Partial Controller Support,20000-50000,Winter,Positive
2014-09-03,27,25,0.0,2282,42,1,Single-player;Multi-player;Steam Achievements;Steam Workshop;Partial Controller Support;Stats;Steam Leaderboards;Includes level editor,500000-1000000,Fall,Negative
2014-05-09,46,0,10.99,911,0,1,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Stats;Steam Leaderboards,50000-100000,Spring,Very Positive
2015-02-17,53,297,14.99,8839,371,1,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,500000-1000000,Winter,Very Positive
2014-05-08,70,859,22.99,10913,668,1,Single-player;Multi-player;Co-op;Steam Achievements;Steam Trading Cards;Steam Workshop;Steam Cloud;Stats;Steam Leaderboards;Includes level editor,1000000-2000000,Spring,Very Positive
2014-11-26,0,0,4.79,6,0,1,Single-player,0-20000,Fall,Negative
2013-11-28,18,431,3.99,422,431,1,Single-player;Steam Achievements;Steam Trading Cards,50000-100000,Fall,Negative
2014-01-30,0,0,0.0,259,0,1,Single-player,200000-500000,Winter,Very Positive
2014-03-17,0,0,6.99,17,0,1,Single-player,20000-50000,Spring,Very Negative
2014-04-11,33,0,6.99,257,0,1,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,50000-100000,Spring,Negative
2013-12-06,0,142,3.99,447,142,1,Single-player;Steam Trading Cards;Partial Controller Support,20000-50000,Winter,Very Positive
2014-04-01,30,189,14.99,1506,129,1,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,500000-1000000,Spring,Very Negative
2014-02-27,48,570,14.99,2199,570,1,Single-player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Cloud,200000-500000,Winter,Positive
2013-12-19,0,0,6.99,946,0,1,Single-player;Steam Cloud,50000-100000,Winter,Very Negative
2013-12-19,0,34,5.79,531,34,1,Single-player;Multi-player;Steam Cloud,50000-100000,Winter,Very Negative
2014-01-10,0,0,2.49,66,0,1,Single-player;Steam Trading Cards,20000-50000,Winter,Negative
2014-07-15,45,0,3.99,39,0,1,Single-player;Multi-player;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards,0-20000,Summer,Negative
2014-01-16,0,147,6.99,293,147,1,Single-player;Shared/Split Screen;Steam Trading Cards;Partial Controller Support;Steam Cloud,50000-100000,Winter,Negative
2014-01-16,0,217,2.09,727,213,1,Single-player;Steam Trading Cards;Partial Controller Support;Steam Cloud,200000-500000,Winter,Positive
2014-01-23,0,4,2.09,428,4,1,Single-player,200000-500000,Winter,Very Negative
2014-01-23,0,0,2.09,409,0,1,Single-player,100000-200000,Winter,Very Negative
2014-01-30,0,207,2.09,315,244,1,Single-player;Steam Trading Cards;Steam Cloud,200000-500000,Winter,Positive
2014-10-13,71,898,14.99,12944,635,1,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Cloud,500000-1000000,Fall,Positive
2017-09-21,70,790,10.99,3467,693,1,Single-player;Steam Achievements;Full controller support;Steam Cloud,200000-500000,Fall,Very Positive
2014-05-22,178,162,4.99,271,162,1,Single-player;Steam Achievements;Steam Trading Cards;Steam Workshop;Partial Controller Support;Steam Cloud;Steam Leaderboards,50000-100000,Spring,Negative
2014-06-05,28,0,3.49,742,0,1,Single-player;Multi-player;Co-op;Shared/Split Screen;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;VR Support;Steam Cloud;Steam Leaderboards,50000-100000,Summer,Very Positive
2014-04-15,33,310,4.49,755,283,1,Single-player;Steam Achievements;Full controller support;Steam Trading Cards,100000-200000,Spring,Very Positive
2014-02-13,10,0,12.99,128,0,1,Single-player;Shared/Split Screen;Steam Achievements;Steam Trading Cards;Steam Leaderboards,20000-50000,Winter,Negative
2015-03-09,19,432,5.19,281,432,1,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support,20000-50000,Spring,Very Positive
2015-05-06,22,0,3.99,20,0,1,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,0-20000,Spring,Positive
2016-02-24,23,0,5.19,234,0,1,Single-player;Multi-player;Shared/Split Screen;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Cloud;Stats;Steam Leaderboards,20000-50000,Winter,Negative
2014-03-12,80,0,14.99,1147,0,1,Single-player;Multi-player;Cross-Platform Multiplayer;Steam Achievements;Includes level editor,100000-200000,Spring,Very Positive
2014-07-01,0,92,0.0,7199,485,1,MMO;Steam Trading Cards,2000000-5000000,Summer,Positive
2016-02-04,88,1985,34.99,35792,1891,1,Single-player;Multi-player;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Workshop;Steam Cloud,1000000-2000000,Winter,Positive
2014-05-15,14,0,6.99,61,0,1,Single-player;Multi-player;Co-op;Shared/Split Screen;Steam Achievements;Full controller support,20000-50000,Spring,Negative
2014-05-06,20,148,16.99,1044,132,1,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud;Commentary available,200000-500000,Spring,Positive
2014-08-07,0,491,11.39,4490,716,1,Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Captions available;Steam Workshop;Steam Leaderboards;Includes level editor,200000-500000,Summer,Very Positive
2014-02-07,0,0,0.79,223,0,1,Single-player,0-20000,Winter,Negative
2014-06-09,0,653,7.19,6424,450,1,Single-player;Multi-player,200000-500000,Summer,Very Positive
2018-02-07,27,0,6.99,144,0,1,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Stats,0-20000,Winter,Very Positive
2014-04-09,20,0,6.99,272,0,1,Single-player;Steam Achievements;Steam Trading Cards,50000-100000,Spring,Positive
2014-07-16,20,69,0.0,2164,382,1,Single-player;Steam Achievements,1000000-2000000,Summer,Positive
2015-08-27,40,245,22.99,3810,233,1,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Co-op;Online Co-op;Local Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Cloud;Steam Leaderboards,500000-1000000,Summer,Negative
2014-02-05,0,0,26.99,506,0,1,Single-player;Multi-player,0-20000,Winter,Negative
2017-09-29,28,441,14.99,40519,620,1,Single-player;Local Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,1000000-2000000,Fall,Very Positive
2019-04-08,88,0,19.49,82,0,1,Single-player;Steam Achievements;Stats,0-20000,Spring,Positive
2015-06-02,7,0,10.99,23,0,1,Single-player;Steam Achievements;Captions available;Partial Controller Support,0-20000,Summer,Negative
2017-05-12,12,0,6.99,430,0,1,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Co-op;Online Co-op;Local Co-op;Shared/Split Screen;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Stats;Steam Leaderboards,20000-50000,Spring,Very Positive
2014-03-20,7,64,3.99,130,64,1,Single-player;Steam Achievements,20000-50000,Spring,Positive
2014-02-27,0,0,6.99,1136,0,1,Single-player;Shared/Split Screen;Full controller support;Steam Trading Cards,50000-100000,Winter,Positive
2014-03-06,10,37,4.79,1666,37,1,Single-player;Steam Achievements,100000-200000,Spring,Very Positive
2014-04-04,9,0,10.99,425,0,1,Single-player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,50000-100000,Spring,Positive
