,english,required_age,achievements,average_playtime,median_playtime,owners,price,indie,action,adventure,singleplayer,multiplayer,rating,day,month,year
22567,1,0,0,0,0,0-20000,10.29,1,0,0,1,0,positive,13,7,2018
22568,1,0,0,0,0,0-20000,2.09,0,0,1,1,0,very positive,6,6,2018
22572,1,0,1,0,0,0-20000,0.79,1,0,0,1,0,very positive,29,6,2018
22573,1,0,20,0,0,0-20000,0.0,0,1,0,1,1,very positive,17,8,2018
22574,1,0,36,0,0,0-20000,0.0,1,0,1,1,1,very positive,26,9,2018
22575,1,0,0,0,0,0-20000,7.19,0,1,1,1,0,very negative,21,6,2018
22576,1,0,4,0,0,0-20000,2.09,1,0,0,1,0,positive,5,6,2018
22577,1,0,0,0,0,0-20000,7.19,1,0,0,1,0,very positive,9,7,2018
22578,1,0,0,0,0,0-20000,5.19,1,1,0,1,0,very positive,27,6,2018
22579,1,0,0,0,0,0-20000,2.89,1,0,1,1,0,positive,6,6,2018
22581,1,0,0,0,0,0-20000,2.09,1,1,1,1,0,very negative,5,6,2018
22582,1,0,0,0,0,0-20000,1.69,1,1,1,1,0,positive,10,8,2018
22583,1,0,31,0,0,0-20000,5.19,1,0,0,1,0,very negative,27,7,2018
22584,1,0,25,0,0,0-20000,5.79,1,0,0,1,0,negative,21,6,2018
22585,1,0,13,0,0,0-20000,5.79,1,0,0,1,0,very negative,18,6,2018
22586,1,0,13,0,0,0-20000,4.79,1,0,0,1,0,very positive,11,6,2018
22587,1,0,17,0,0,0-20000,3.99,0,0,0,1,0,very positive,4,6,2018
22588,1,0,47,0,0,0-20000,0.79,1,0,0,1,0,positive,6,6,2018
22589,1,0,0,0,0,0-20000,0.0,0,1,0,1,0,very positive,13,6,2018
22591,1,0,1,0,0,0-20000,2.09,1,1,0,1,0,very positive,18,7,2018
22592,1,0,12,0,0,0-20000,1.69,1,0,0,1,0,very positive,12,6,2018
22593,1,0,52,0,0,0-20000,0.79,1,0,0,1,0,very positive,2,6,2018
22594,1,0,0,0,0,0-20000,3.99,1,1,1,1,0,very positive,14,8,2018
22595,1,0,0,0,0,0-20000,1.69,1,0,0,1,0,negative,12,6,2018
22596,1,0,0,0,0,0-20000,1.99,0,1,0,1,0,very positive,5,6,2018
22597,1,0,7,0,0,0-20000,8.29,1,1,0,1,1,very positive,15,6,2018
22598,1,0,30,0,0,0-20000,11.39,1,1,1,1,0,very positive,17,10,2018
22599,1,0,0,0,0,0-20000,0.0,1,1,1,1,0,very positive,15,6,2018
22600,1,0,20,0,0,0-20000,0.0,1,0,0,1,1,very positive,12,7,2018
22601,1,0,0,0,0,20000-50000,0.0,1,1,0,1,1,very positive,22,6,2018
22602,0,0,0,0,0,0-20000,0.0,0,1,0,0,1,negative,26,7,2018
22603,1,0,17,0,0,0-20000,5.19,1,0,0,1,0,very positive,8,6,2018
22604,1,0,0,0,0,0-20000,4.79,0,0,0,0,1,very positive,11,9,2018
22606,1,0,0,0,0,0-20000,11.39,1,0,0,1,0,very positive,12,6,2018
22607,1,0,0,0,0,0-20000,5.79,1,1,0,1,0,very positive,27,7,2018
22608,1,0,3,0,0,0-20000,2.09,1,0,0,1,0,very positive,18,6,2018
22609,1,0,8,0,0,0-20000,4.79,1,0,0,1,0,positive,27,6,2018
22611,0,18,0,0,0,0-20000,0.0,0,0,0,1,0,positive,22,6,2018
22612,1,0,24,0,0,0-20000,5.79,1,0,0,1,0,very negative,2,7,2018
22614,1,0,0,0,0,0-20000,4.79,1,0,1,1,0,very negative,20,7,2018
22616,1,0,15,0,0,0-20000,2.09,1,0,0,1,1,very positive,15,6,2018
22617,1,0,0,0,0,0-20000,2.89,0,0,0,1,0,very negative,16,6,2018
22619,1,0,9,0,0,0-20000,2.99,1,1,0,1,0,very positive,23,10,2018
22620,1,0,0,0,0,0-20000,2.09,1,1,0,1,0,positive,18,6,2018
22622,1,0,26,0,0,0-20000,0.79,1,0,0,1,0,very negative,9,6,2018
22623,1,0,0,0,0,0-20000,1.69,1,1,0,1,0,positive,10,6,2018
22624,1,0,16,0,0,0-20000,3.99,1,0,1,1,0,very positive,19,7,2018
22625,1,0,0,0,0,0-20000,11.39,1,0,1,1,0,very positive,27,7,2018
22626,1,0,0,0,0,0-20000,3.99,0,1,0,1,0,very positive,8,6,2018
22627,1,0,13,0,0,0-20000,2.09,1,1,0,1,1,very positive,3,11,2018
22628,1,0,39,0,0,0-20000,0.79,1,0,1,1,0,positive,14,6,2018
22630,1,0,0,0,0,0-20000,0.0,1,1,0,0,1,positive,21,3,2019
22631,1,0,0,0,0,0-20000,1.69,0,1,1,1,0,very positive,5,6,2018
22632,1,0,8,0,0,0-20000,3.99,1,0,0,1,0,very positive,1,10,2018
22633,1,0,0,0,0,20000-50000,0.79,1,1,0,1,0,positive,24,7,2018
22634,1,0,0,0,0,0-20000,3.99,0,0,1,1,0,very positive,3,7,2018
22635,1,0,0,0,0,0-20000,0.0,1,1,0,0,1,negative,30,7,2018
22636,1,0,0,0,0,0-20000,4.99,0,0,1,1,0,very positive,11,6,2018
22637,1,0,37,0,0,0-20000,7.19,1,0,0,1,0,very negative,5,9,2018
22638,1,0,0,0,0,0-20000,4.79,1,1,0,1,0,very negative,6,6,2018
22641,1,0,11,0,0,0-20000,5.79,1,1,0,1,1,very positive,15,6,2018
22642,1,0,0,0,0,0-20000,10.99,1,0,0,1,0,positive,14,2,2019
22643,1,0,0,0,0,0-20000,3.99,1,0,1,1,0,very positive,17,7,2018
22644,1,0,0,0,0,0-20000,1.69,1,0,1,1,0,positive,3,8,2018
22645,1,0,17,0,0,0-20000,2.09,1,0,0,1,0,positive,15,6,2018
22646,1,0,17,0,0,0-20000,11.39,0,1,0,0,1,very positive,22,2,2019
22647,1,0,0,0,0,0-20000,8.29,1,1,1,1,1,positive,25,1,2019
22648,1,0,0,0,0,0-20000,0.79,1,0,0,1,0,very positive,11,6,2018
22649,1,0,12,0,0,0-20000,2.09,1,0,0,1,0,very negative,21,6,2018
22651,1,0,0,0,0,0-20000,2.09,1,0,1,1,0,very positive,28,6,2018
22652,1,0,0,0,0,0-20000,0.79,1,1,0,1,0,negative,25,7,2018
22653,1,0,0,0,0,0-20000,1.69,1,1,1,1,0,positive,9,6,2018
22654,1,0,15,0,0,0-20000,4.79,1,0,1,1,0,very positive,19,7,2018
22655,1,0,0,0,0,0-20000,3.99,1,1,0,1,0,very positive,31,10,2018
22656,1,0,0,0,0,0-20000,3.99,1,1,0,0,1,very positive,21,12,2018
22657,1,0,21,0,0,0-20000,5.79,1,1,1,1,0,very positive,20,12,2018
22658,1,0,16,0,0,0-20000,7.19,1,1,1,1,0,positive,10,8,2018
22659,1,0,40,0,0,0-20000,2.09,0,0,1,1,0,very positive,5,7,2018
22660,1,0,0,0,0,0-20000,4.79,1,1,1,1,0,very positive,13,6,2018
22662,1,0,20,0,0,0-20000,11.39,0,0,0,1,0,positive,17,7,2018
22663,1,0,13,0,0,20000-50000,0.99,1,1,1,1,0,very positive,16,6,2018
22664,1,0,11,0,0,0-20000,0.85,1,0,1,1,0,very positive,13,6,2018
22665,1,0,8,0,0,0-20000,3.19,1,1,1,1,0,very positive,18,6,2018
22666,1,0,28,0,0,0-20000,11.39,0,0,0,1,0,very positive,7,12,2018
22667,1,0,46,0,0,0-20000,3.99,1,1,0,1,0,very negative,24,8,2018
22668,1,0,45,0,0,0-20000,1.99,1,0,1,1,0,positive,22,1,2019
22669,0,0,40,0,0,0-20000,0.79,1,0,1,1,0,very positive,13,6,2018
22670,1,0,0,0,0,0-20000,13.99,1,1,0,0,1,positive,18,4,2019
22671,1,0,11,58,101,200000-500000,0.0,1,0,1,1,0,very positive,5,6,2018
22672,1,0,34,0,0,0-20000,0.79,1,0,0,1,0,very positive,11,6,2018
22673,1,0,19,0,0,0-20000,1.69,1,0,1,1,0,very positive,6,6,2018
22674,1,0,6,0,0,0-20000,1.1,1,0,0,1,0,very positive,9,1,2019
22675,1,0,2,0,0,0-20000,8.29,1,0,0,1,0,very positive,8,9,2018
22676,1,0,0,0,0,0-20000,0.79,0,0,0,1,1,very positive,15,6,2018
